name	gpu_count	cpu_cores	ram_gb	root_disk_gb	ephemeral_disk_gb	region
n3-H200-SXM5x8	8	176	1800	100	48000	CANADA-1
n3-H100x1	1	28	180	100	750	CANADA-1
n3-H100x2	2	60	360	100	1500	CANADA-1
n3-H100x4	4	124	720	100	3200	CANADA-1
n3-H100x8	8	252	1440	100	6500	CANADA-1
n3-H100x1-spot	1	28	180	100	750	CANADA-1
n3-H100x2-spot	2	60	360	100	1500	CANADA-1
n3-H100x4-spot	4	124	720	100	3200	CANADA-1
n3-H100x8-spot	8	252	1440	100	6500	CANADA-1
n3-H100x8-NVLink	8	252	1440	100	6500	CANADA-1
n3-H100-SXM5x8	8	192	1800	100	32000	CANADA-1
n3-A100-SXM4x8	8	192	960	100	16000	US-1
n3-A100x1	1	28	120	100	750	CANADA-1
n3-A100x2	2	60	240	100	1500	CANADA-1
n3-A100x4	4	124	480	100	3200	CANADA-1
n3-A100x8	8	252	960	100	6500	CANADA-1
n3-A100x1-spot	1	28	120	100	750	CANADA-1
n3-A100x2-spot	2	60	240	100	1500	CANADA-1
n3-A100x4-spot	4	124	480	100	3200	CANADA-1
n3-A100x8-spot	8	252	960	100	6500	CANADA-1
n3-A100x8-NVLink	8	252	1920	100	6500	CANADA-1
n3-L40x1	1	28	58	100	725	CANADA-1
n3-L40x2	2	60	116	100	1550	CANADA-1
n3-L40x4	4	124	232	100	3200	CANADA-1
n3-L40x8	8	252	464	100	6500	CANADA-1
n3-L40x1-spot	1	28	58	100	725	CANADA-1
n3-L40x2-spot	2	60	116	100	1550	CANADA-1
n3-L40x4-spot	4	124	232	100	3200	CANADA-1
n3-L40x8-spot	8	252	464	100	6500	CANADA-1
n3-RTX-PRO6000-SEx1	1	28	225	100	3300	CANADA-1
n3-RTX-PRO6000-SEx2	2	56	450	100	6800	CANADA-1
n3-RTX-PRO6000-SEx4	4	112	900	100	13800	CANADA-1
n3-RTX-PRO6000-SEx8	8	224	1800	100	27600	CANADA-1
n3-RTX-PRO6000-SEx1-spot	1	28	225	100	3300	CANADA-1
n3-RTX-PRO6000-SEx2-spot	2	56	450	100	6800	CANADA-1
n3-RTX-PRO6000-SEx4-spot	4	112	900	100	13800	CANADA-1
n3-RTX-A6000x1	1	28	58	100	NA	CANADA-1
n3-RTX-A6000x2	2	60	116	100	200	CANADA-1
n3-RTX-A6000x4	4	124	232	100	650	CANADA-1
n3-RTX-A6000x8	8	252	464	100	1400	CANADA-1
n3-RTX-A6000x1-spot	1	28	58	100	NA	CANADA-1
n3-RTX-A6000x2-spot	2	60	116	100	200	CANADA-1
n3-RTX-A6000x4-spot	4	124	232	100	650	CANADA-1
n3-RTX-A6000x8-spot	8	252	464	100	1400	CANADA-1
n3-RTX-A4000x1	1	4	21	100	NA	NORWAY-1
n3-RTX-A4000x2	2	8	43	100	100	NORWAY-1
n3-RTX-A4000x4	4	16	86	100	400	NORWAY-1
n3-RTX-A4000x8	8	32	172	100	800	NORWAY-1
n3-RTX-A4000x10	10	56	215	100	1200	NORWAY-1
